ObservationsStedNr;ObservationsStedNavn;Startdato;Startklok;UndersøgelseNr;TekniskAnvisninganvendt;MålingNr;Parameter;Enhed;Resultat;ResultatAttribut;Kontrol;Kvalitet;Kvalitetsnote
"21000665";"Knud Å, Bens. Møllevad Bro";"20000712";"1200";"1";"True";"1";"Temperatur";"grader C";"18";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20000802";"1200";"1";"True";"1";"Temperatur";"grader C";"18,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20000926";"1200";"1";"True";"1";"Temperatur";"grader C";"13,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20001018";"1200";"1";"True";"1";"Temperatur";"grader C";"12,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20001101";"1200";"1";"True";"1";"Temperatur";"grader C";"10,8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20001129";"1200";"1";"True";"1";"Temperatur";"grader C";"7,9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20010104";"1200";"1";"True";"1";"Temperatur";"grader C";"4,8";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20010215";"1200";"1";"True";"1";"Temperatur";"grader C";"2,7";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20010315";"1200";"1";"True";"1";"Temperatur";"grader C";"3,3";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20010419";"1200";"1";"True";"1";"Temperatur";"grader C";"5,9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20010523";"1200";"1";"True";"1";"Temperatur";"grader C";"12,3";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20010621";"1200";"1";"True";"1";"Temperatur";"grader C";"16";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20010718";"1200";"1";"True";"1";"Temperatur";"grader C";"21";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20010816";"1200";"1";"True";"1";"Temperatur";"grader C";"21,9";"=";"C, Faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20010913";"1200";"1";"True";"1";"Temperatur";"grader C";"15,6";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20011004";"1200";"1";"True";"1";"Temperatur";"grader C";"13,9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20011115";"1200";"1";"True";"1";"Temperatur";"grader C";"8,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20011213";"1200";"1";"True";"1";"Temperatur";"grader C";"5,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20020107";"1200";"1";"True";"1";"Temperatur";"grader C";"2,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20020206";"1200";"1";"True";"1";"Temperatur";"grader C";"4,4";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20020320";"1200";"1";"True";"1";"Temperatur";"grader C";"4,3";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20020410";"1200";"1";"True";"1";"Temperatur";"grader C";"7,9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20020506";"1200";"1";"True";"1";"Temperatur";"grader C";"10,9";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20020603";"1200";"1";"True";"1";"Temperatur";"grader C";"19,5";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20020711";"1200";"1";"True";"1";"Temperatur";"grader C";"19,1";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20020807";"1200";"1";"True";"1";"Temperatur";"grader C";"20,3";"=";"D, FDC faglig kontrol";"Godkendt";""
"21000665";"Knud Å, Bens. Møllevad Bro";"20020911";"1200";"1";"True";"1";"Temperatur";"grader C";"20,1";"=";"D, FDC faglig kontrol";"Godkendt";""
