datetime,layer,tp
2009-03-01,epi,43.32868862013026
2009-04-01,epi,28.568744438667068
2009-05-01,epi,12.653954483438202
2009-06-01,epi,12.991891345390338
2009-07-01,epi,10.913917428754356
2009-08-01,epi,8.290194190768228
2009-09-01,epi,8.983966378004808
2009-10-01,epi,17.61806949289087
2009-11-01,epi,34.17492302334442
2009-12-01,epi,47.85628648300873
2010-01-01,epi,50.224336587215646
2010-02-01,epi,47.03783074310034
2010-03-01,epi,31.831126727950874
2010-04-01,epi,50.14617822313231
2010-05-01,epi,23.438826687660665
2010-06-01,epi,14.89798852951729
2010-07-01,epi,12.156221631076972
2010-08-01,epi,20.13159609881833
2010-09-01,epi,27.504946363176067
2010-10-01,epi,19.774500422119416
2010-11-01,epi,43.288306350713555
2010-12-01,epi,56.5619285107968
2011-01-01,epi,74.9622193578693
2011-02-01,epi,63.90733799121399
2011-03-01,epi,53.99032227820704
2011-04-01,epi,60.41392079684279
2011-05-01,epi,31.502081288354848
2011-06-01,epi,23.170630606031036
2011-07-01,epi,31.39798595043862
2011-08-01,epi,20.57534674995626
2011-09-01,epi,11.343930165228809
2011-10-01,epi,13.791441888759193
2011-11-01,epi,22.849752577539572
2011-12-01,epi,65.0225683140471
2012-01-01,epi,60.630977325529265
2012-02-01,epi,60.11277622057369
2012-03-01,epi,56.01131468352972
2012-04-01,epi,34.53565798163824
2012-05-01,epi,33.1328044277843
2012-06-01,epi,17.72950689949193
2012-07-01,epi,36.80823487011949
2012-08-01,epi,16.233160156693526
2012-09-01,epi,21.203243544050135
2012-10-01,epi,20.035052591539966
2012-11-01,epi,39.977570139991755
2012-12-01,epi,49.13420102905981
2013-01-01,epi,53.78586577098138
2013-02-01,epi,54.77613025873864
2013-03-01,epi,47.942625441530126
2013-04-01,epi,27.458962524933742
2013-05-01,epi,19.483570947816105
2013-06-01,epi,10.532517068747286
2013-07-01,epi,16.746427398168535
2013-08-01,epi,20.992806302438524
2013-09-01,epi,18.368497407207773
2013-10-01,epi,17.252972116920784
2013-11-01,epi,39.13073984349636
2013-12-01,epi,67.67516736685754
2014-01-01,epi,66.76838221048767
2014-02-01,epi,67.82757759917536
2014-03-01,epi,59.35363312215148
2014-04-01,epi,36.902878441160624
2014-05-01,epi,30.485272819874837
2014-06-01,epi,23.73711013508097
2014-07-01,epi,30.528582183768407
2014-08-01,epi,19.901348958067807
2014-09-01,epi,22.464423780294243
2014-10-01,epi,35.1040154448832
2014-11-01,epi,42.47661454176364
2014-12-01,epi,72.03236747708573
2015-01-01,epi,74.3399650159858
2015-02-01,epi,64.30152610572517
2015-03-01,epi,45.04351567843013
2015-04-01,epi,47.42424645916787
2015-05-01,epi,22.74541509436487
2015-06-01,epi,18.508789951183292
2015-07-01,epi,16.182613351712934
2015-08-01,epi,17.87277300761956
2015-09-01,epi,23.439184595876785
2015-10-01,epi,27.161978048375996
2015-11-01,epi,53.67094739315359
2015-12-01,epi,63.26525325711145
2016-01-01,epi,66.76995321751795
2016-02-01,epi,63.92291595691814
2016-03-01,epi,60.5876431399008
2016-04-01,epi,45.8049277561973
2016-05-01,epi,30.27844621237231
2016-06-01,epi,22.059626157531042
2016-07-01,epi,21.16940637462297
2016-08-01,epi,20.428165010426106
2016-09-01,epi,34.768022911876265
2016-10-01,epi,34.58695055444462
2016-11-01,epi,47.777591798560664
2016-12-01,epi,49.5291818436767
2017-01-01,epi,56.58039900816641
2017-02-01,epi,61.56034198769646
2017-03-01,epi,59.24958341288405
2017-04-01,epi,36.6334386669254
2017-05-01,epi,21.02487102868192
2017-06-01,epi,18.471188647651786
2017-07-01,epi,21.911848455399443
2017-08-01,epi,19.523265174023937
2017-09-01,epi,19.037880705567172
2017-10-01,epi,23.651440122251508
2017-11-01,epi,33.59578681142753
2017-12-01,epi,38.29156021359827
